,RateCodeID,RatecodeID,VendorID,dropoff_latitude,dropoff_longitude,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,pickup_latitude,pickup_longitude,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance
83,1.0,,1,40.77583312988281,-73.94445037841797,0.5,6.0,0.3,0.5,1,2,40.775672912597656,-73.95601654052734,N,0.0,0.0,7.3,2015-01-22 20:12:49,2015-01-22 20:06:21,0.7
84,1.0,,2,40.687747955322266,-73.93708038330078,0.5,11.0,0.3,0.5,1,1,40.68924331665039,-73.9786148071289,N,2.88,0.0,15.18,2015-01-22 05:16:04,2015-01-22 05:03:03,2.47
85,1.0,,2,40.77836990356445,-73.98123931884766,0.0,4.5,0.3,0.5,1,2,40.77425003051758,-73.98858642578125,N,0.0,0.0,5.3,2015-01-21 15:24:37,2015-01-21 15:21:16,0.64
86,1.0,,2,40.757057189941406,-73.9823989868164,0.0,4.5,0.3,0.5,2,2,40.75006103515625,-73.98815155029298,N,0.0,0.0,5.3,2015-01-26 15:03:17,2015-01-26 14:59:11,0.62
87,1.0,,2,40.7984733581543,-73.9596176147461,0.5,10.5,0.3,0.5,1,1,40.77072525024415,-73.95376586914062,N,2.2,0.0,14.0,2015-01-01 02:43:48,2015-01-01 02:34:34,2.77
88,1.0,,2,40.70584106445313,-74.01268768310547,0.0,7.5,0.3,0.5,6,2,40.727481842041016,-73.994873046875,N,0.0,0.0,8.3,2015-01-12 07:36:09,2015-01-12 07:28:41,1.64
89,1.0,,1,40.79153060913085,-73.97209167480467,1.0,7.0,0.3,0.5,1,2,40.7743034362793,-73.9811248779297,N,0.0,0.0,8.8,2015-01-16 19:01:48,2015-01-16 18:54:56,1.3
90,1.0,,2,40.768009185791016,-73.98120880126955,0.5,14.5,0.3,0.5,1,1,40.76089096069336,-73.9228973388672,N,3.0,0.0,18.8,2015-01-01 04:26:46,2015-01-01 04:12:43,3.88
91,1.0,,1,40.73498153686523,-73.98294830322266,0.0,4.0,0.3,0.5,1,1,40.74227523803711,-73.977783203125,N,1.0,0.0,5.8,2015-01-29 06:45:31,2015-01-29 06:43:45,0.6
92,1.0,,1,40.76266098022461,-73.98966217041014,0.0,13.5,0.3,0.5,1,1,40.769187927246094,-73.96727752685547,N,2.0,0.0,16.3,2015-01-29 11:08:43,2015-01-29 10:49:38,2.0
93,1.0,,1,40.72795867919922,-73.99461364746094,0.0,4.5,0.3,0.5,1,2,40.73467254638672,-73.99459838867188,N,0.0,0.0,5.3,2015-01-06 10:04:48,2015-01-06 10:00:58,0.6
94,1.0,,2,40.75031661987305,-73.99092864990234,0.5,7.5,0.3,0.5,1,1,40.73440170288085,-73.9863739013672,N,1.6,0.0,10.4,2015-01-21 00:10:32,2015-01-21 00:03:24,1.57
95,1.0,,2,40.753021240234375,-73.98548889160156,0.0,12.5,0.3,0.5,1,1,40.77006149291992,-73.96131896972656,N,2.5,0.0,15.8,2015-01-07 13:07:48,2015-01-07 12:48:50,2.14
96,1.0,,1,40.73833084106445,-73.98440551757811,0.0,9.0,0.0,0.5,2,2,40.765079498291016,-73.97498321533203,N,0.0,0.0,9.8,2015-01-03 12:03:42,2015-01-03 11:54:50,2.3
97,1.0,,1,40.71481323242188,-73.99168395996094,0.5,9.0,0.3,0.5,1,1,40.70670318603516,-74.0125732421875,N,2.05,0.0,12.35,2015-01-10 03:35:19,2015-01-10 03:26:33,1.9
98,1.0,,2,40.75511169433594,-73.97219848632812,1.0,6.0,0.3,0.5,5,2,40.75244903564453,-73.9749984741211,N,0.0,0.0,7.8,2015-01-21 18:03:25,2015-01-21 17:56:06,0.66
99,1.0,,1,40.800392150878906,-73.95545196533203,0.0,21.5,0.0,0.5,1,1,40.72907638549805,-73.98426055908203,N,4.45,0.0,26.75,2015-01-04 19:14:49,2015-01-04 18:51:45,6.1
